SMILES,full_nomenclature,monomer_structure,peptoids,short_name,type
*N([C@@H](C)c1ccc(OC)cc1)CC(=O)*,(S)-N-[1-(4-methoxyphenyl)ethyl]glycine,,{'18AE1-6-C': '/api/peptoids/18AE1-6-C'},NSmpe,alpha
*N[C@H](C)C(=O)*,D-Alanine,,{'18AE1-6-C': '/api/peptoids/18AE1-6-C'},DAla,alpha
*N([C@@H](CCCC)c1cccc2ccccc21)CCC(=O)*,(S)-N-[1-(1-naphthyl)pentyl]beta-alanine,,{'19AC1-6-A': '/api/peptoids/19AC1-6-A'},,beta
*N(CC[N+](Cc1ccccc1)(CC)CC)CC(=O)*,"N-[2-(N-benzyl-N,N-diethyl)ammonium]ethylglycine",,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},Net2bnae,alpha
*N(CC[N+](CC)(CC)CC#C)CC(=O)*,"N-[2-(N-propargyl-N,N-diethyl)ammonium]ethylglycine",,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},Net2prae,alpha
*N(CC[N+](C(C)C)C(C)C)CC(=O)*,"N-[2-(N,N-disopropyl)ammonium]ethylglycine",10.5517/ccdc.csd.cc242d7w,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},Nipg2ae,alpha
*N(CC[N+](CC)(CC)CC)CC(=O)*,N-[2-(N-triethyl)ammonium]ethylglycine,10.5517/ccdc.csd.cc242d9y,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},Net3ae,alpha
*N(c1ccc(C(C)C)cc1)CC(=O)*,N-(4-isopropyl)phenylglycine,,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},,alpha
*N(c1ccc(C)cc1)CC(=O)*,N-(4-methyl)phenylglycine,,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},,alpha
*N(c1ccc(OC)cc1)CC(=O)*,N-(4-methoxy)phenylglycine,,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},,alpha
*N(Cc1ncccc1)CC(=O)*,N-(2-picolyl)glycine,,"{'20AA1-3-A': '/api/peptoids/20AA1-3-A', '20AA2-3-A': '/api/peptoids/20AA2-3-A', '20AA3-3-A': '/api/peptoids/20AA3-3-A', '20AA4-3-A': '/api/peptoids/20AA4-3-A'}",N2pic,alpha
*N(Cc1c2ccccc2ccc1)CC(=O)*,N-(1-naphthylmethyl)glycine,,{},,alpha
*N(CC1CCCCC1)CC(=O)*,N-(cyclohexyl)methylglycine,,{'20AA3-3-A': '/api/peptoids/20AA3-3-A'},Ncy,alpha
*N(CCCCC)CC(=O)*,N-pentylglycine,,{'20AC1-6-C': '/api/peptoids/20AC1-6-C'},,alpha
*N(CCCCCC)CC(=O)*,N-hexylglycine,,{'20AC2-6-C': '/api/peptoids/20AC2-6-C'},,alpha
*NCC(=O)*,Glycine,,{},Gly,alpha
*NCCC(=O)*,beta-Alanine,,{},betaAla,beta
